Epochs,Accuracy,Loss
1,0.084,0.04858
2,0.105,0.04746
3,0.137,0.04737
4,0.167,0.04726
5,0.188,0.04712
6,0.201,0.04691
7,0.200,0.04660
8,0.204,0.04605
9,0.221,0.04499
10,0.265,0.04307
11,0.400,0.04034
12,0.581,0.03694
13,0.775,0.03285
14,0.852,0.02826
15,0.871,0.02365
16,0.882,0.01951
17,0.904,0.01621
18,0.924,0.01382
19,0.940,0.01208
20,0.951,0.01076
21,0.962,0.00969
22,0.968,0.00876
23,0.976,0.00792
24,0.982,0.00713
25,0.986,0.00638
26,0.988,0.00571
27,0.990,0.00512
28,0.990,0.00462
29,0.990,0.00421
30,0.991,0.00386
31,0.992,0.00357
32,0.992,0.00332
33,0.992,0.00310
34,0.993,0.00292
35,0.993,0.00276
36,0.993,0.00261
37,0.993,0.00248
38,0.993,0.00237
39,0.993,0.00226
40,0.994,0.00216
41,0.994,0.00208
42,0.994,0.00200
43,0.995,0.00192
44,0.995,0.00185
45,0.995,0.00179
46,0.995,0.00173
47,0.995,0.00168
48,0.995,0.00162
49,0.996,0.00158
50,0.996,0.00153
51,0.996,0.00149
52,0.996,0.00145
53,0.996,0.00141
54,0.996,0.00137
55,0.996,0.00134
56,0.996,0.00130
57,0.996,0.00127
58,0.996,0.00124
59,0.996,0.00122
60,0.996,0.00119
61,0.996,0.00116
62,0.996,0.00114
63,0.997,0.00111
64,0.997,0.00109
65,0.997,0.00107
66,0.997,0.00105
67,0.997,0.00103
68,0.997,0.00101
69,0.997,0.00099
