Epochs:1  Accuracy:0.08425  Loss:0.04858221127338335
Epochs:2  Accuracy:0.105  Loss:0.047464702394791
Epochs:3  Accuracy:0.137  Loss:0.04737484005317718
Epochs:4  Accuracy:0.16675  Loss:0.047264236244254625
Epochs:5  Accuracy:0.18825  Loss:0.0471188478670779
Epochs:6  Accuracy:0.20125  Loss:0.04691339043630096
Epochs:7  Accuracy:0.19975  Loss:0.04659625319976327
Epochs:8  Accuracy:0.204  Loss:0.046047017886239584
Epochs:9  Accuracy:0.22075  Loss:0.04498582514376009
Epochs:10  Accuracy:0.265  Loss:0.043068095499254624
Epochs:11  Accuracy:0.39975  Loss:0.04033880326833441
Epochs:12  Accuracy:0.5805  Loss:0.03693944372977161
Epochs:13  Accuracy:0.77475  Loss:0.03285492357650275
Epochs:14  Accuracy:0.8515  Loss:0.02825502751133235
Epochs:15  Accuracy:0.87075  Loss:0.023650100765714846
Epochs:16  Accuracy:0.88175  Loss:0.01950770690044053
Epochs:17  Accuracy:0.90425  Loss:0.016214539679846898
Epochs:18  Accuracy:0.92375  Loss:0.013822313248947752
Epochs:19  Accuracy:0.93975  Loss:0.012082714426753034
Epochs:20  Accuracy:0.95075  Loss:0.010758555706008645
Epochs:21  Accuracy:0.96225  Loss:0.009687545997287755
Epochs:22  Accuracy:0.96825  Loss:0.008763924084572385
Epochs:23  Accuracy:0.97575  Loss:0.007922371173598498
Epochs:24  Accuracy:0.98175  Loss:0.007129807909906067
Epochs:25  Accuracy:0.98625  Loss:0.0063842382511847505
Epochs:26  Accuracy:0.98825  Loss:0.005706810722100061
Epochs:27  Accuracy:0.9895  Loss:0.005117669048492756
Epochs:28  Accuracy:0.9895  Loss:0.004620270408930588
Epochs:29  Accuracy:0.99025  Loss:0.004205164651728111
Epochs:30  Accuracy:0.991  Loss:0.0038584305757772804
Epochs:31  Accuracy:0.992  Loss:0.0035665660381559755
Epochs:32  Accuracy:0.992  Loss:0.0033182532779519195
Epochs:33  Accuracy:0.99225  Loss:0.00310458791844159
Epochs:34  Accuracy:0.9925  Loss:0.002918735960039813
Epochs:35  Accuracy:0.99275  Loss:0.00275547529404482
Epochs:36  Accuracy:0.993  Loss:0.0026107914750985563
Epochs:37  Accuracy:0.993  Loss:0.002481565410505201
Epochs:38  Accuracy:0.99325  Loss:0.0023653438629239057
Epochs:39  Accuracy:0.99325  Loss:0.002260173404636092
Epochs:40  Accuracy:0.9935  Loss:0.002164480211894241
Epochs:41  Accuracy:0.994  Loss:0.002076982344668514
Epochs:42  Accuracy:0.994  Loss:0.001996625012667759
Epochs:43  Accuracy:0.9945  Loss:0.0019225322151726605
Epochs:44  Accuracy:0.995  Loss:0.0018539701657077283
Epochs:45  Accuracy:0.995  Loss:0.0017903192995337484
Epochs:46  Accuracy:0.995  Loss:0.0017310526091159546
Epochs:47  Accuracy:0.995  Loss:0.001675718702669112
Epochs:48  Accuracy:0.995  Loss:0.0016239284305441996
Epochs:49  Accuracy:0.9955  Loss:0.0015753442381620123
Epochs:50  Accuracy:0.99575  Loss:0.0015296716253608662
Epochs:51  Accuracy:0.996  Loss:0.0014866522492441143
Epochs:52  Accuracy:0.996  Loss:0.0014460583204892795
Epochs:53  Accuracy:0.996  Loss:0.0014076880250790786
Epochs:54  Accuracy:0.996  Loss:0.0013713617638199064
Epochs:55  Accuracy:0.996  Loss:0.001336919047219022
Epochs:56  Accuracy:0.996  Loss:0.0013042159176715293
Epochs:57  Accuracy:0.996  Loss:0.0012731227974476739
Epochs:58  Accuracy:0.99625  Loss:0.0012435226817075291
Epochs:59  Accuracy:0.99625  Loss:0.0012153096121191344
Epochs:60  Accuracy:0.99625  Loss:0.0011883873796178967
Epochs:61  Accuracy:0.99625  Loss:0.0011626684151529402
Epochs:62  Accuracy:0.99625  Loss:0.0011380728354709498
Epochs:63  Accuracy:0.9965  Loss:0.0011145276175171814
Epochs:64  Accuracy:0.99675  Loss:0.0010919658802222866
Epochs:65  Accuracy:0.99675  Loss:0.0010703262565609248
Epochs:66  Accuracy:0.99675  Loss:0.0010495523420298517
Epochs:67  Accuracy:0.997  Loss:0.001029592208273264
Epochs:68  Accuracy:0.997  Loss:0.0010103979726234107
Epochs:69  Accuracy:0.997  Loss:0.0009919254159379903
train0 and train1 Accuracy:0.99725
test0 and test1 Accuracy:0.994
